0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng
ACK|ACK|KACK|KACK|Nantucket Memorial|Nantucket Memorial|Nantucket|Nantucket|United States|United States
ACL|ACL|||Aguaclara|Aguaclara|Aguaclara|Aguaclara|Colombia|Colombia
ACM|ACM|||Arica|Arica|Arica|Arica|Colombia|Colombia
ACN|ACN|MMCC|MMCC|International|International|Ciudad Acuna|Ciudad Acuna|Mexico|Mexico
ACO|ACO|LSZD|LSZD|Ascona|Ascona|Ascona|Ascona|Switzerland|Switzerland
ACP|ACP|OITM|OITM|Sahand|Sahand|Sahand|Sahand|Iran|Iran
ACR|ACR|SKAC|SKAC|Araracuara|Araracuara|Araracuara|Araracuara|Colombia|Colombia
ACS|ACS|UNKS|UNKS|Achinsk|Achinsk|Achinsk|Achinsk|Russian Federation|Russian Federation
ACT|ACT|KACT|KACT|Municipal|Municipal|Waco|Waco|United States|United States
ACU|ACU|||Achutupo|Achutupo|Achutupo|Achutupo|Panama|Panama
ACV|ACV|KACV|KACV|Arcata|Arcata|Arcata|Arcata|United States|United States
ACX|ACX|ZUYI|ZUYI|Xingyi|Xingyi|Xingyi|Xingyi|China|China
ACY|ACY|KACY|KACY|Atlantic City Intl|Atlantic City Intl|Atlantic City|Atlantic City|United States|United States
ACZ|ACZ|OIZB|OIZB|Zabol A/P|Zabol A/P|Zabol|Zabol|Iran|Iran
ADA|ADA|LTAF|LTAF|Adana|Adana|Adana|Adana|Turkey|Turkey
ADB|ADB|LTBJ|LTBJ|Adnan Menderes|Adnan Menderes|Izmir|Izmir|Turkey|Turkey
ADC|ADC|KADC|KADC|Andakombe|Andakombe|Andakombe|Andakombe|Papua New Guinea|Papua New Guinea
ADD|ADD|HAAB|HAAB|Bole International|Bole International|Addis Ababa|Addis Ababa|Ethiopia|Ethiopia
ADE|ADE|OYAA|OYAA|International|International|Aden|Aden|Yemen|Yemen
ADF|ADF|LTCP|LTCP|Adiyaman|Adiyaman|Adiyaman|Adiyaman|Turkey|Turkey
ADG|ADG|KADG|KADG|Lenawee County|Lenawee County|Adrian|Adrian|United States|United States
ADH|ADH|UEEA|UEEA|Aldan|Aldan|Aldan|Aldan|Russian Federation|Russian Federation
ADI|ADI|FYAR|FYAR|Arandis|Arandis|Arandis|Arandis|Namibia|Namibia
ADJ|ADJ|OJAM|OJAM|Marka International Airport|Marka International Airport|Amman|Amman|Jordan|Jordan
ADK|ADK|PADK|PADK|Adak Island NS|Adak Island NS|Adak Island|Adak Island|United States|United States
ADL|ADL|YPAD|YPAD|Adelaide International Airport|Adelaide International Airport|Adelaide|Adelaide|Australia|Australia
ADM|ADM|KADM|KADM|Ardmore Municipal Arpt|Ardmore Municipal Arpt|Ardmore|Ardmore|United States|United States
ADN|ADN|SKAN|SKAN|Andes|Andes|Andes|Andes|Colombia|Colombia
ADO|ADO|YAMK|YAMK|Andamooka|Andamooka|Andamooka|Andamooka|Australia|Australia
ADP|ADP|VCCA|VCCA|Ampara|Ampara|Ampara|Ampara|Sri Lanka|Sri Lanka
ADQ|ADQ|PADQ|PADQ|Kodiak Airport|Kodiak Airport|Kodiak|Kodiak|United States|United States
ADR|ADR|KPHH|KPHH|Andrews|Andrews|Andrews|Andrews|United States|United States
ADS|ADS|KADS|KADS|Addison Airport|Addison Airport|Dallas|Dallas|United States|United States
ADT|ADT|KADH|KADH|Ada|Ada|Ada|Ada|United States|United States
ADU|ADU|OITL|OITL|Ardabil|Ardabil|Ardabil|Ardabil|Iran|Iran
ADV|ADV|EGWA|EGWA|Andover|Andover|Andover|Andover|United Kingdom|United Kingdom
ADW|ADW|KADW|KADW|Andrews AFB|Andrews AFB|Camp Springs|Camp Springs|United States|United States
ADX|ADX|EGQL|EGQL|Leuchars|Leuchars|St Andrews|St Andrews|United Kingdom|United Kingdom
ADY|ADY|FAAL|FAAL|Alldays|Alldays|Alldays|Alldays|South Africa|South Africa
ADZ|ADZ|SKSP|SKSP|San Andres Island|San Andres Island|San Andres Island|San Andres Island|Colombia|Colombia
AEA|AEA|NGTB|NGTB|Abemama Atoll|Abemama Atoll|Abemama Atoll|Abemama Atoll|Kiribati|Kiribati
AED|AED|KTDO|KTDO|Aleneva|Aleneva|Aleneva|Aleneva|United States|United States
AEG|AEG|WIME|WIME|Aek Godang|Aek Godang|Aek Godang|Aek Godang|Indonesia|Indonesia
AEH|AEH|FTTC|FTTC|Abecher|Abecher|Abecher|Abecher|Chad|Chad
AEI|AEI|OPKC|OPKC|Algeciras|Algeciras|Algeciras|Algeciras|Spain|Spain
AEK|AEK|||Aseki|Aseki|Aseki|Aseki|Papua New Guinea|Papua New Guinea
AEL|AEL|KAEL|KAEL|Albert Lea|Albert Lea|Albert Lea|Albert Lea|United States|United States
AEO|AEO|GQNA|GQNA|Aioun El Atrouss|Aioun El Atrouss|Aioun El Atrouss|Aioun El Atrouss|Mauritania|Mauritania
AEP|AEP|SABE|SABE|Arpt. Jorge Newbery|Arpt. Jorge Newbery|Buenos Aires|Buenos Aires|Argentina|Argentina
AER|AER|URSS|URSS|Adler - Sochi|Adler - Sochi|Adler|Adler|Russian Federation|Russian Federation
AES|AES|ENAL|ENAL|Vigra|Vigra|Aalesund|Aalesund|Norway|Norway
AET|AET|PFAL|PFAL|Allakaket|Allakaket|Allakaket|Allakaket|United States|United States
AEU|AEU|OIBA|OIBA|Abu Musa|Abu Musa|Abu Musa|Abu Musa|Iran|Iran
AEX|AEX|KAEX|KAEX|Alexandria International|Alexandria International|Alexandria, LA|Alexandria, LA|United States|United States
AEY|AEY|BIAR|BIAR|Akureyri|Akureyri|Akureyri|Akureyri|Iceland|Iceland
AFA|AFA|SAMR|SAMR|San Rafael|San Rafael|San Rafael|San Rafael|Argentina|Argentina
AFD|AFD|FAPA|FAPA|Port Alfred|Port Alfred|Port Alfred|Port Alfred|South Africa|South Africa
AFF|AFF|KAFF|KAFF|USAF Academy Airstrip|USAF Academy Airstrip|Colorado Springs|Colorado Springs|United States|United States
AFI|AFI|SKAM|SKAM|Amalfi|Amalfi|Amalfi|Amalfi|Colombia|Colombia
AFK|AFK|KAFK|KAFK|Kondavattavan Tank|Kondavattavan Tank|Ampara|Ampara|Sri Lanka|Sri Lanka
AFL|AFL|SBAT|SBAT|Alta Floresta|Alta Floresta|Alta Floresta|Alta Floresta|Brazil|Brazil
AFN|AFN|KAFN|KAFN|Municipal|Municipal|Jaffrey|Jaffrey|United States|United States
AFO|AFO|KAFO|KAFO|Municipal|Municipal|Afton|Afton|United States|United States
AFR|AFR|||Afore|Afore|Afore|Afore|Papua New Guinea|Papua New Guinea
AFS|AFS|UTSN|UTSN|Zarafshan|Zarafshan|Zarafshan|Zarafshan|Uzbekistan|Uzbekistan
AFT|AFT|AGAF|AGAF|Afutara Aerodrome|Afutara Aerodrome|Afutara|Afutara|Solomon Islands|Solomon Islands
AFW|AFW|KAFW|KAFW|Fort Worth Alliance|Fort Worth Alliance|Fort Worth, TX|Fort Worth, TX|United States|United States
AFY|AFY|LTAH|LTAH|Afyon|Afyon|Afyon|Afyon|Turkey|Turkey
AFZ|AFZ|OIMS|OIMS|Sabzevar|Sabzevar|Sabzevar|Sabzevar|Iran|Iran
AGA|AGA|GMAD|GMAD|Agadir Almassira|Agadir Almassira|Agadir|Agadir|Morocco|Morocco
AGB|AGB|EDMA|EDMA|Augsburg - Muehlhausen|Augsburg - Muehlhausen|Munich|Munich|Germany|Germany
AGC|AGC|KAGC|KAGC|Allegheny County|Allegheny County|Pittsburgh|Pittsburgh|United States|United States
AGD|AGD|WASG|WASG|Anggi|Anggi|Anggi|Anggi|Indonesia|Indonesia
AGE|AGE|EDWG|EDWG|Flugplatz|Flugplatz|Wangerooge|Wangerooge|Germany|Germany
AGF|AGF|LFBA|LFBA|La Garenne|La Garenne|Agen|Agen|France|France
AGG|AGG|||Angoram|Angoram|Angoram|Angoram|Papua New Guinea|Papua New Guinea
AGH|AGH|ESTA|ESTA|Angelholm|Angelholm|Angelholm/Helsingborg|Angelholm/Helsingborg|Sweden|Sweden
AGI|AGI|SMWA|SMWA|Wageningen|Wageningen|Wageningen|Wageningen|Suriname|Suriname
AGJ|AGJ|RORA|RORA|Aguni|Aguni|Aguni|Aguni|Japan|Japan
AGK|AGK|||Kagua|Kagua|Kagua|Kagua|Papua New Guinea|Papua New Guinea
AGL|AGL|||Wanigela|Wanigela|Wanigela|Wanigela|Papua New Guinea|Papua New Guinea
AGM|AGM|BGAM|BGAM|Tasiilaq|Tasiilaq|Tasiilaq|Tasiilaq|Greenland|Greenland
AGN|AGN|PAGN|PAGN|Angoon|Angoon|Angoon|Angoon|United States|United States
AGO|AGO|KAGO|KAGO|Municipal|Municipal|Magnolia|Magnolia|United States|United States
AGP|AGP|LEMG|LEMG|Pablo Ruiz Picasso|Pablo Ruiz Picasso|Malaga|Malaga|Spain|Spain
AGQ|AGQ|LGAG|LGAG|Agrinion|Agrinion|Agrinion|Agrinion|Greece|Greece
AGR|AGR|VIAG|VIAG|Kheria|Kheria|Agra|Agra|India|India
AGS|AGS|KAGS|KAGS|Bush Field|Bush Field|Augusta|Augusta|United States|United States
AGT|AGT|SGES|SGES|Alejo Garcia|Alejo Garcia|Ciudad Del Este|Ciudad Del Este|Paraguay|Paraguay
AGU|AGU|MMAS|MMAS|Aguascalients|Aguascalients|Aguascalientes|Aguascalientes|Mexico|Mexico
AGV|AGV|SVAC|SVAC|Acarigua|Acarigua|Acarigua|Acarigua|Venezuela|Venezuela
AGW|AGW|||Agnew|Agnew|Agnew|Agnew|Australia|Australia
AGX|AGX|VOAT|VOAT|Agatti Island|Agatti Island|Agatti Island|Agatti Island|India|India
AGY|AGY|||Argyle Downs|Argyle Downs|Argyle Downs|Argyle Downs|Australia|Australia
AGZ|AGZ|FAAG|FAAG|Aggeneys|Aggeneys|Aggeneys|Aggeneys|South Africa|South Africa
AHA|AHA|RORG|RORG|Naha Air Force Base|Naha Air Force Base|Okinawa|Okinawa|Japan|Japan
AHB|AHB|OEAB|OEAB|Abha|Abha|Abha|Abha|Saudi Arabia|Saudi Arabia
AHC|AHC|KAHC|KAHC|Amedee AAF|Amedee AAF|Herlong|Herlong|Norway|Norway
AHD|AHD|KAHD|KAHD|Downtown|Downtown|Ardmore|Ardmore|United States|United States
AHE|AHE|NTHE|NTHE|Ahe Airport|Ahe Airport|Ahe|Ahe|French Polynesia|French Polynesia
AHF|AHF|||Municipal|Municipal|Arapahoe|Arapahoe|Guatemala|Guatemala
AHH|AHH|KAHH|KAHH|Municipal|Municipal|Amery|Amery|United States|United States
AHI|AHI|WAPA|WAPA|Amahai|Amahai|Amahai|Amahai|Indonesia|Indonesia
AHL|AHL|SYAH|SYAH|Aishalton|Aishalton|Aishalton|Aishalton|Guyana|Guyana
AHN|AHN|KAHN|KAHN|Athens|Athens|Athens|Athens|Greece|Greece
AHO|AHO|LIEA|LIEA|Fertilia|Fertilia|Alghero|Alghero|Italy|Italy
AHS|AHS|||Ahuas|Ahuas|Ahuas|Ahuas|Honduras|Honduras
AHT|AHT|PHKO|PHKO|Amchitka|Amchitka|Amchitka|Amchitka|United States|United States
AHU|AHU|GMTA|GMTA|Charif Al Idrissi|Charif Al Idrissi|Al Hoceima|Al Hoceima|Morocco|Morocco
AHY|AHY|||Ambatolahy|Ambatolahy|Ambatolahy|Ambatolahy|Madagascar|Madagascar
AHZ|AHZ|LFHU|LFHU|Alpe D Huez|Alpe D Huez|Alpe D Huez|Alpe D Huez|France|France
AIA|AIA|KAIA|KAIA|Alliance|Alliance|Alliance|Alliance|United States|United States
AIB|AIB|KGRK|KGRK|Anita Bay|Anita Bay|Anita Bay|Anita Bay|United States|United States
AIC|AIC|||Airok|Airok|Airok, Ailinglaplap|Airok, Ailinglaplap|Marshall Islands|Marshall Islands
AID|AID|KAID|KAID|Municipal|Municipal|Anderson|Anderson|United States|United States
AIE|AIE|||Aiome|Aiome|Aiome|Aiome|Papua New Guinea|Papua New Guinea
AIF|AIF|SBAS|SBAS|Assis|Assis|Assis|Assis|Brazil|Brazil
AIG|AIG|FEFY|FEFY|Yalinga|Yalinga|Yalinga|Yalinga|Central African Republic|Central African Republic
AIH|AIH|OPKC|OPKC|Aiambak|Aiambak|Aiambak|Aiambak|Papua New Guinea|Papua New Guinea
AII|AII|HDAS|HDAS|Alisabieh|Alisabieh|Alisabieh|Alisabieh|Djibouti|Djibouti
AIK|AIK|KAIK|KAIK|Municipal|Municipal|Aiken|Aiken|United States|United States
AIL|AIL|||Ailigandi|Ailigandi|Ailigandi|Ailigandi|Panama|Panama
AIM|AIM|||Ailuk Island|Ailuk Island|Ailuk Island|Ailuk Island|Marshall Islands|Marshall Islands
AIN|AIN|PAWI|PAWI|Wainwright|Wainwright|Wainwright|Wainwright|United States|United States
AIO|AIO|KAIO|KAIO|Municipal|Municipal|Atlantic|Atlantic|United States|United States
AIP|AIP|||Ailinglapalap Island|Ailinglapalap Island|Ailinglapalap Island|Ailinglapalap Island|Marshall Islands|Marshall Islands
AIR|AIR|||Aripuana|Aripuana|Aripuana|Aripuana|Brazil|Brazil
AIS|AIS|NGTR|NGTR|Arorae Island|Arorae Island|Arorae Island|Arorae Island|Kiribati|Kiribati
AIT|AIT|NCAI|NCAI|Aitutaki|Aitutaki|Aitutaki|Aitutaki|Cook Islands|Cook Islands
AIU|AIU|NCAT|NCAT|Atiu Island|Atiu Island|Atiu Island|Atiu Island|Cook Islands|Cook Islands
AIV|AIV|KAIV|KAIV|George Downer|George Downer|Aliceville|Aliceville|United States|United States
AIW|AIW|OPKC|OPKC|Ai-ais|Ai-ais|Ai-ais|Ai-ais|Namibia|Namibia
AIY|AIY|KAIY|KAIY|Bader Field|Bader Field|Atlantic City|Atlantic City|United States|United States
AIZ|AIZ|KAIZ|KAIZ|Lee C Fine Memorial|Lee C Fine Memorial|Kaiser/Lake Ozark|Kaiser/Lake Ozark|United States|United States
AJA|AJA|LFKJ|LFKJ|Campo Dell Oro|Campo Dell Oro|Ajaccio|Ajaccio|France|France
AJF|AJF|OESK|OESK|Jouf|Jouf|Sakaka Al Jouf|Sakaka Al Jouf|Saudi Arabia|Saudi Arabia
AJI|AJI|LTCO|LTCO|A&amp;#287;ri|A&amp;#287;ri|Agri|Agri|Italy|Italy
AJJ|AJJ|GQNJ|GQNJ|Akjoujt|Akjoujt|Akjoujt|Akjoujt|Mauritania|Mauritania
AJK|AJK|OIHR|OIHR|Araak|Araak|Araak|Araak|Iran|Iran
AJL|AJL|VEAZ|VEAZ|Aizawl|Aizawl|Aizawl|Aizawl|India|India
AJN|AJN|FMCV|FMCV|Ouani|Ouani|Anjouan|Anjouan|Comoros|Comoros
AJO|AJO|||Aljouf|Aljouf|Aljouf|Aljouf|Yemen|Yemen
AJR|AJR|ESNX|ESNX|Arvidsjaur|Arvidsjaur|Arvidsjaur|Arvidsjaur|Sweden|Sweden
AJS|AJS|||Abreojos|Abreojos|Abreojos|Abreojos|Mexico|Mexico
AJU|AJU|SBAR|SBAR|Santa Maria|Santa Maria|Aracaju|Aracaju|Brazil|Brazil
AJY|AJY|DRZA|DRZA|Agades|Agades|Agades|Agades|Niger|Niger
AKA|AKA|ZLAK|ZLAK|Ankang|Ankang|Ankang|Ankang|China|China
AKB|AKB|PAAK|PAAK|Atka|Atka|Atka|Atka|United States|United States
AKC|AKC|KAKR|KAKR|Fulton International|Fulton International|Akron/Canton|Akron/Canton|South Africa|South Africa
AKD|AKD|VAAK|VAAK|Akola|Akola|Akola|Akola|India|India
AKE|AKE|||Akieni|Akieni|Akieni|Akieni|Gabon|Gabon
AKF|AKF|HLKF|HLKF|Kufrah|Kufrah|Kufrah|Kufrah|Libya|Libya
AKG|AKG|||Anguganak|Anguganak|Anguganak|Anguganak|Papua New Guinea|Papua New Guinea
AKH|AKH|OEPS|OEPS|Prince Sultan Air Base|Prince Sultan Air Base|Al Kharj|Al Kharj|Saudi Arabia|Saudi Arabia
AKI|AKI|PFAK|PFAK|Akiak|Akiak|Akiak|Akiak|United States|United States
AKJ|AKJ|RJEC|RJEC|Asahikawa|Asahikawa|Asahikawa|Asahikawa|Japan|Japan
AKK|AKK|PAKH|PAKH|Akhiok SPB|Akhiok SPB|Akhiok|Akhiok|United States|United States
AKL|AKL|NZAA|NZAA|Auckland International|Auckland International|Auckland|Auckland|New Zealand|New Zealand
AKM|AKM|||Zakouma|Zakouma|Zakouma|Zakouma|Chad|Chad
AKN|AKN|PAKN|PAKN|King Salmon|King Salmon|King Salmon|King Salmon|United States|United States
AKO|AKO|KAKO|KAKO|Colorado Plains Regional Airport|Colorado Plains Regional Airport|Akron, CO|Akron, CO|United States|United States
AKP|AKP|PAKP|PAKP|Anaktuvuk|Anaktuvuk|Anaktuvuk|Anaktuvuk|United States|United States
AKQ|AKQ|WIAG|WIAG|Gunung Batin|Gunung Batin|Astraksetra|Astraksetra|Indonesia|Indonesia
AKR|AKR|DNAK|DNAK|Akure|Akure|Akure|Akure|Nigeria|Nigeria
AKT|AKT|LCRA|LCRA|Akrotiri Raf|Akrotiri Raf|Akrotiri|Akrotiri|Cyprus|Cyprus
AKU|AKU|ZWAK|ZWAK|Aksu|Aksu|Aksu|Aksu|China|China
AKV|AKV|CYKO|CYKO|Akulivik|Akulivik|Akulivik|Akulivik|Canada|Canada
AKW|AKW|OIAG|OIAG|Aghajari|Aghajari|Aghajari|Aghajari|Iran|Iran
AKX|AKX|UATT|UATT|Aktyubinsk|Aktyubinsk|Aktyubinsk|Aktyubinsk|Kazakhstan|Kazakhstan
AKY|AKY|VYSW|VYSW|Civil|Civil|Sittwe|Sittwe|Myanmar|Myanmar
ALA|ALA|UAAA|UAAA|Almaty|Almaty|Almaty|Almaty|Kazakhstan|Kazakhstan
ALB|ALB|KALB|KALB|Albany International|Albany International|Albany|Albany|United States|United States
ALC|ALC|LEAL|LEAL|Alicante El Altet|Alicante El Altet|Alicante|Alicante|Spain|Spain
ALD|ALD|SPAR|SPAR|Alerta|Alerta|Alerta|Alerta|Peru|Peru
ALE|ALE|||Alpine|Alpine|Alpine|Alpine|United States|United States
ALF|ALF|ENAT|ENAT|Alta|Alta|Alta|Alta|Norway|Norway
ALG|ALG|DAAG|DAAG|Houari Boumediene|Houari Boumediene|Algiers|Algiers|Algeria|Algeria
ALH|ALH|YABA|YABA|Albany|Albany|Albany|Albany|Australia|Australia
ALI|ALI|KALI|KALI|International|International|Alice|Alice|United States|United States
ALJ|ALJ|FAAB|FAAB|Kortdoorn|Kortdoorn|Alexander Bay|Alexander Bay|South Africa|South Africa
ALK|ALK|||Asela|Asela|Asela|Asela|Ethiopia|Ethiopia
ALL|ALL|LIMG|LIMG|Albenga|Albenga|Albenga|Albenga|Italy|Italy
ALM|ALM|KALM|KALM|Municipal|Municipal|Alamogordo|Alamogordo|United States|United States
ALN|ALN|KALN|KALN|Alton|Alton|Alton|Alton|United States|United States
ALO|ALO|KALO|KALO|Waterloo|Waterloo|Waterloo|Waterloo|United States|United States
ALP|ALP|OSAP|OSAP|Nejrab|Nejrab|Aleppo|Aleppo|Syria|Syria
ALQ|ALQ|SSAL|SSAL|Federal|Federal|Alegrete|Alegrete|Brazil|Brazil
ALR|ALR|NZLX|NZLX|Alexandra|Alexandra|Alexandra|Alexandra|New Zealand|New Zealand
ALS|ALS|KALS|KALS|Municipal|Municipal|Alamosa|Alamosa|United States|United States
ALT|ALT|||Alenquer|Alenquer|Alenquer|Alenquer|Brazil|Brazil
ALU|ALU|HCMA|HCMA|Alula|Alula|Alula|Alula|Somalia|Somalia
ALV|ALV|||Andorra La Vella H/P|Andorra La Vella H/P|Andorra La Vella|Andorra La Vella|Andorra|Andorra
ALW|ALW|KALW|KALW|Walla Walla|Walla Walla|Walla Walla|Walla Walla|United States|United States
ALX|ALX|KALX|KALX|Thomas C Russell Fld|Thomas C Russell Fld|Alexander City|Alexander City|United States|United States
ALY|ALY|HEAX|HEAX|El Nohza|El Nohza|Alexandria|Alexandria|Egypt|Egypt
ALZ|ALZ|KALZ|KALZ|Alitak SPB|Alitak SPB|Alitak|Alitak|United States|United States
AMA|AMA|KAMA|KAMA|Rick Husband Amarillo International|Rick Husband Amarillo International|Amarillo, TX|Amarillo, TX|United States|United States
AMB|AMB|FMNE|FMNE|Ambilobe|Ambilobe|Ambilobe|Ambilobe|Madagascar|Madagascar
AMC|AMC|FTTN|FTTN|Am Timan|Am Timan|Am Timan|Am Timan|Chad|Chad
AMD|AMD|VAAH|VAAH|Ahmedabad|Ahmedabad|Ahmedabad|Ahmedabad|India|India
AME|AME|||Alto Molocue|Alto Molocue|Alto Molocue|Alto Molocue|Mozambique|Mozambique
AMF|AMF|||Ama|Ama|Ama|Ama|Papua New Guinea|Papua New Guinea
AMG|AMG|||Amboin|Amboin|Amboin|Amboin|Papua New Guinea|Papua New Guinea
AMH|AMH|HAAM|HAAM|Arba Mintch|Arba Mintch|Arba Mintch|Arba Mintch|Ethiopia|Ethiopia
AMI|AMI|WADA|WADA|Selaparang|Selaparang|Mataram|Mataram|Indonesia|Indonesia
AMJ|AMJ|SNAR|SNAR|Almenara|Almenara|Almenara|Almenara|Brazil|Brazil
AMK|AMK|||Animas Airpark|Animas Airpark|Durango|Durango|United States|United States
AML|AML|||Puerto Armuellas|Puerto Armuellas|Puerto Armuellas|Puerto Armuellas|Panama|Panama
AMM|AMM|OJAI|OJAI|Queen Alia Intl|Queen Alia Intl|Amman|Amman|Jordan|Jordan
